title,url,release_date,critic_score,audience_score,release_year,title_clean,id,popularity,vote_count,vote_average,overview
Heavy Traffic,https://www.rottentomatoes.com/m/heavy_traffic,"Released Aug 8, 1973",89.0,74.0,1973.0,heavy traffic,30593,0.8267,79,6.4,"A white dropout struggles to become a cartoonist and filmmaker, drawing inspiration from the harsh, gritty world around him. Still sharing his rundown apartment with his middle-aged parents, an oafish slob of an Italian father and a ditzy nutcase of a Jewish mother, he's ridiculed and looked down upon by his friends, hypocrites who run with violent gangs and the Italian Mafia, and a shallow Black girl who makes her living downtown with the pimps and pushers. The cartoonist gets a chance to pitch a film idea to a movie mogul, but the story proves too outrageous: a far-future Earth, depleted by war and pollution, where a mutant antihero challenges and kills God."
Five Easy Pieces,https://www.rottentomatoes.com/m/five_easy_pieces,"Released Sep 12, 1970",89.0,84.0,1970.0,five easy pieces,26617,1.2965,584,7.082,"Robert Dupea spends his days doing various odd jobs, drinking and womanizing until an encounter with his sister makes him revisit his past."
Dirty Harry,https://www.rottentomatoes.com/m/dirty_harry,"Released Jan 1, 1971",89.0,90.0,1971.0,dirty harry,984,4.4387,2703,7.448,"When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath."
The Private Life of Sherlock Holmes,https://www.rottentomatoes.com/m/private_life_of_sherlock_holmes,"Released Dec 3, 1970",89.0,73.0,1970.0,the private life of sherlock holmes,5185,1.1633,324,6.8,"When a bored Sherlock eagerly takes the case of Gabrielle Valladon following an attempt on her life, the search for her missing husband leads to Loch Ness and the legendary monster."
"What's Up, Doc?",https://www.rottentomatoes.com/m/whats_up_doc,"Released Mar 10, 1972",89.0,88.0,1972.0,whats up doc,6949,1.9997,443,7.36,The accidental mix-up of four identical plaid overnight bags leads to a series of increasingly wild and wacky situations.
The Candidate,https://www.rottentomatoes.com/m/candidate,"Released Jun 29, 1972",89.0,74.0,1972.0,the candidate,21711,0.9693,181,6.5,"Bill McKay is a candidate for the U.S. Senate from California. He has no hope of winning, so he is willing to tweak the establishment."
Deliverance,https://www.rottentomatoes.com/m/deliverance,"Released Jul 30, 1972",89.0,82.0,1972.0,deliverance,10669,3.734,1786,7.319,"Intent on seeing the Cahulawassee River before it's turned into one huge lake, outdoor fanatic Lewis Medlock takes his friends on a river-rafting trip they'll never forget into the dangerous American back-country."
Watermelon Man,https://www.rottentomatoes.com/m/watermelon_man,1970,88.0,70.0,1970.0,watermelon man,42600,1.0024,57,6.263,"A racist insurance agent lives in a typical suburban neighborhood, but his bigoted world of taunting and harassing black people on and off the job is turned upside down when his skin inexplicably turns dark overnight."
The Boy Friend,https://www.rottentomatoes.com/m/boy_friend,"Released Dec 16, 1971",88.0,68.0,1971.0,the boy friend,31515,0.4614,38,6.5,"When the leading lady of a low-budget musical revue sprains her ankle, the assistant stage manager is forced to understudy and perform in her place."
Everything You Always Wanted to Know About Sex (But Were Afraid to Ask),https://www.rottentomatoes.com/m/everything_you_always_wanted_to_know_about_sex_but_were_afraid_to_ask,"Released Aug 6, 1972",88.0,69.0,1972.0,everything you always wanted to know about sex but were afraid to ask,11624,1.4605,986,6.5,"A collection of seven vignettes, which each address a question concerning human sexuality. From aphrodisiacs to sexual perversion to the mystery of the male orgasm, characters like a court jester, a doctor, a queen and a journalist adventure through lab experiments and game shows, all seeking answers to common questions that many would never ask."
The Abominable Dr. Phibes,https://www.rottentomatoes.com/m/abominable_dr_phibes,"Released May 18, 1971",88.0,75.0,1971.0,the abominable dr phibes,17965,1.1522,327,6.9,"After a team of surgeons botches his beloved wife's operation, the distraught Dr. Phibes unleashes a score of Old-Testament atrocities on his enemies."
Carnal Knowledge,https://www.rottentomatoes.com/m/carnal_knowledge,"Released Jun 30, 1971",88.0,72.0,1971.0,carnal knowledge,36492,1.7429,221,6.577,"Two lifelong friends navigate complex sexual encounters and emotional entanglements, wrestling with societal norms and personal desires."
Enter the Dragon,https://www.rottentomatoes.com/m/enter_the_dragon,"Released Jan 1, 1973",88.0,91.0,1973.0,enter the dragon,9461,7.2309,2061,7.416,A martial artist agrees to spy on a reclusive crime lord using his invitation to a tournament there as cover.
Slither,https://www.rottentomatoes.com/m/slither,"Released Mar 31, 2006",87.0,63.0,2006.0,slither,9035,4.0536,1696,6.5,"A small town is taken over by an alien plague, turning residents into zombies and all forms of mutant monsters."
